ProductID, ReviewText, Wordcount
7728,"Mooie grote tas, kan veel in en comfortabel te dragen op je rug. Ook erg handig waszak er bij in voor je vieze was.",24
8971,Deze tas heeft in het grote vak veel ruimte en kan makkelijk worden opgehangen. De ritsvakken zijn praktisch voor wat kleiner spul. Fijn spiegeltje erin ook.,26
8214,In beschrijving staat: 4 LOSSE vakken. Echter het zijn 4 (verschillende) vakken; ze kunnen niet los van elkaar (zijn niet afneembaar).,21
