name,price,url
Glennoo Anti-diefstal Rugzak Dames - Rugtas dames - PU leer - Bruin,199.00,/nl/nl/p/glennoo-anti-diefstal-rugzak-dames-rugtas-dames-pu-leer-bruin/9200000110394311/
Eastpak Laptoprugzak Out of Office - zwart,199.00,/nl/nl/p/eastpak-out-of-office-rugzak-27-liter-13-3-inch-laptopvak-black-denim/9200000037312308/
Pia Ries kleurrijke kalfsleren rugzak 6010,199.00,/nl/nl/p/pia-ries-rugtas-dames-6010-tropical-leer-multicolor/9200000072035668/
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,199.00,/nl/nl/p/ticaba-taylor-rugzak-voor-school-werk-reizen-rugtas-voor-dames-heren-en-jongens-meisjes-backpack-zwart/9300000008329379/
VMCA Galaxy Rugzak Schooltas Tiener en Volwassenen Voor Meisjes en Jongens - 1 Potlood tas - Paars,199.00,/nl/nl/p/sterrenhemel-rugzak-galaxy-rugzak-student-rugzak-tiener-jongen-meisje-laptop-rugzak-vrijetijdsreistas-paars/9300000126405925/
Eastpak Padded Pak'R - Rugzak - Black Denim,199.00,/nl/nl/p/eastpak-padded-pak-r-rugzak-24-liter-black-denim/9200000037312216/
"ZILOU® Rugtas - Rugzak - 20-35 Liter - 16"" Laptopvak - School - Werk - Reizen - Groen",199.00,/nl/nl/p/zilou-rugtas-20-35-liter-16-laptopvak-groen/9200000102436558/
"Anti-diefstal rugzak - Rugtas dames - Waterdicht - Klein - Anti-theft backpack - Rug-, Schouder-, Handtas in één - Nylon - incl. verstelbare riem - Zwart - Glennoo",199.00,/nl/nl/p/anti-diefstal-rugzak-rugtas-dames-waterdicht-klein-anti-theft-backpack-rug-schouder-handtas-in-een-nylon-incl-verstelbare-riem-zwart-glennoo/9300000007957002/
QY Eenhoorn Rugzak - Rugtas Meisje – Unicorn - Roze - Large (vanaf groep 3),199.00,/nl/nl/p/qy-eenhoorn-rugzak-rugtas-meisje-unicorn-roze-large/9300000013707576/
Fana Bags Roll-up Rugtas Groen - Trendy Rugzak - Sportieve Werktas - Waterdicht - 22 L,199.00,/nl/nl/p/fana-bags-roll-up-rugtas-groen-trendy-rugzak-sportieve-werktas-waterdicht-22-l/9300000141824223/
"IGOODS Rugtas Laptop - Rugtas Jongens - reizen anti-diefstal zakelijke rugzak - Rugtas Meisjes - Tas met USB-oplaadpoort - 14 t/m 15,6 inch - Zwart",199.00,/nl/nl/p/igoods-rugtas-laptop-rugtas-jongens-reizen-anti-diefstal-zakelijke-rugzak-rugtas-meisjes-tas-met-usb-oplaadpoort-14-t-m-15-6-inch-zwart/9300000088995799/
Milky Kiss All Time Favourite Rugzak - Bruin - Schooltas meisje - Panterprint,199.00,/nl/nl/p/milky-kiss-all-time-favourite-rugzak-bruin-schooltas-meisje-panterprint/9300000123917798/
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,199.00,/nl/nl/p/trvlmore-rugzak-28l-15-6-inch-laptop-rugtas-waterafstotend-grijs/9300000006773543/
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-blauw/9300000006777449/
Fjällräven Kånken Frost Green Rugzak  - Groen,199.00,/nl/nl/p/fjallraven-kanken-unisex-rugzak-frost-green/9200000061275500/
"TRVLMORE Rugzak - 36 L - 17,3 inch - Laptop Rugtas - Waterafstotend - Antraciet",199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-antraciet/9300000075666340/
Eastpak Provider Rugzak 15 inch laptopvak - Black,199.00,/nl/nl/p/eastpak-provider-rugzak-33-liter-15-inch-laptopvak-black/9200000039804950/
VMCA Rugzak Met Laptopvak - 17.3 inch Laptop Rugtas - 45L - Zwart,199.00,/nl/nl/p/vmca-rugzak-met-laptopvak-17-3-inch-laptop-rugtas-45l-zwart/9300000124106259/
MIRI Laptoptas – 3-in-1 Rugtas / Schoudertas / Aktetas – Tot 15.6 inch – Zwart – Hoge kwaliteit – Anti-diefstal – Heren / Dames – USB poort – Verstelbaar,199.00,/nl/nl/p/miri-laptoptas-3-in-1-rugtas-schoudertas-aktetas-tot-15-6-inch-zwart-hoge-kwaliteit-anti-diefstal-heren-dames-usb-poort-verstelbaar/9300000112506332/
