sku,rating,good points,bad points
B42A390322,"[9, 9, 9]","['Ergonomisch en praktisch.', 'Voelt degelijk aan, zit erg fijn als als deze uiteraard goed is afgesteld.\n\nDe schouderhoogte is zeer eenvoudig instelbaar.', 'Het enorme draagcomfort.\nDe doordachte details en de hoge afwerkingsgraad waaronder de zeer solide rits van het hoofdvak.\nHij is groot en lijkt een stuk ruimer dan 24 liter!']","['Met stokken aan de rugzak zou de regenhoes ook goed moeten kunnen passen. Nu lukt dat niet.', 'De twee heupvakjes zijn net te klein voor een gemiddelde maat telefoon.', 'Ik had liever gezien dat het hoofdvak uit 2 delen zou bestaan middels een rits,nu moet je flink graaien als je iets wil pakken wat onderin ligt.En jammer dat die dit jaar maar in 1 kleur te krijgen is en dat is donkerblauw.']"
B42A390278,"[9, 10]","['Lichtgewicht en strak ontwerp. De Camelbak past perfect in het achterste vak van de rugzak, daarnaast biedt de rugzak voldoende ruimte voor alle benodigdheden voor een dag buitensport / wandelen.']","['Er had een goede gebruiksaanwijzing bij mogen zitten over de vele functionaliteiten en uitbreidingsmogelijkheden (bv waterzak).', 'Uitsluitend bij gebruik met een Camelbak: De slang van de Camelbak loopt over het hengsel i.p.v. door het hengsel. Hierdoor is de slang niet beschermd tegen de elementen.']"
B42A390322,"[8, 10, 9]","['Ligging op mijn rug tijdens het wandelen', 'Super fijne rugzak met precies de juiste componenten! samengesteld door iemand die snapt wat een consument zoekt in een dagrugzak.', 'De rugzak zit heel stevig aan de rug. Genoeg vakken en ritsen. Heel stevig licht materiaal. Gaat jaren mee. \nRelatief de beste rugzak die je kan kopen']","['Prijs aan de hoge kant', 'Ik kan niets bedenken.', 'Onderzijde rugzak is al stevig gemaakt, maar met neerzetten komt hier de meeste slijtage, dat moet heavy duty gemaakt zijn.']"
B42A390322,"[9, 10, 9]","['Prima dagrugzak met goede en verstelbare ruglengte.\nZijzakken voor bidons oid is mooi groot en hoog en is met verstelbare kussen goed vast te zetten. Osprey is altijd van goede kwaliteit.', 'De stevigere rits', 'Draagcomfort,\nGoede stel mogelijkheden.\n \nAdemend, rugzak zit niet direct op de rug.\n\nRuime hoge meshzakke  aan beide zijkanten voor gebruik van rdrinkflessen, 1,2liter camelbak chute past perfect.']","['osprey is relatief duur.\nOok de verkoper (naam mag niet worden genoemd in dit formulier) is relatief duur. Voor beide geldt dat ze goede service verlenen en Osprey is van goede kwaliteit.', 'De plastic gespen kunnen steviger', 'Het vai midden voor (vertike ruta) had van rekbaarder materiaal gemaakt mogen zijn.']"
B42A390322,"[9, 9, 9]","['Heb deze nog niet gebruikt met wandelen', 'Ruglengte, heupgordel, rugventilatie', 'Pasvorm. De aansluiting met mijn rug en ventilatie. Voldoende afstel mogelijkheden.']","['Dus weet nog geen min, of verbeter punten', 'Iiever een star label/greep aan ritsen ipv lussen']"
B42A390165,"[8, 9, 9]","['Smal, maar heel ruim', 'Handige vakjes aan de buiten kant voor makkelijk wat te pakken.\nDat je het hoofd vak ook aan de voorkant kan open maken heb je wat onderop hoeft niet de hele tas leeg.', 'Super draag comfort!']","['Nee', 'Een vakje met kleine lusjes om bijvoorbeeld zakmes, zaklamp en pen op te bergen was makkelijk geweest.']"
B42A390606,"[10, 10, 8]","['Stevig\nMooi\nNetjes', 'Comfortabel, enorm praktisch en logisch.', 'Veel vakjes']","['Geen', 'Waterdichtheid']"
B42A390606,"[10, 10]",['Tot zover een goede kwaliteit en licht in gewicht.'],['De indeling kan handiger']
NAACC60100,"[10, 9, 10]","['Draagt heerlijk opde rug en geeft toch voldoende ventilatie!!\nEn net iets meer ruimte ! \nVoelt degelijk', 'Perfecte maat voor mij, diepe zakken voor de drinkflessen.', 'Hoog draagcomfort, goed afgewerkt']","['Had er eigenlijk wel een regenhoes erbij verwacht.', 'Geen regenhoes, maar is niet echt heel erg.', 'Nog niet gevonden']"
NAACC60100,"[8, 7, 10]","['De rugzak is goed verstelbaar en zit goed op de rug. De volume is prima voor een dag ( lees 24 uur ) De afwerking is zoals je mag verwachten van Osprey.', 'Wij hebben hem nog niet in gebruik.', 'Draagcomfort']","['Een regenbuitje is oké, maar daar blijft het dan ook bij. Een waterdichte hoes zou erbij horen.', 'N.v.t.']"
NAACC60100,"[10, 8, 10]","['Goed passend te maken voor elke rug!!!', 'Past goed\nLicht om te dragen', 'Praktische vakindeling, robuust materiaal, lichtgewicht']","['geen regenhoes, weinig extra vakken', '-']"
