name,review
"Anti Diefstal Waterdichte Rugzak Inclusief Usb Oplaadstation - Laptop tas 14 t/m  15,6 inch - voor dames en heren en jongens - schooltas - Zwart van Zedar","Blij met mijn nieuwe rugzak, Ik gebruik hem vaak als ik ga lopen of sporten."
TheNorthFace Laptoprugzak Connector - zwart,"Geschreven bij TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Connector - 15 inch - 28 Liter - Grijs
Past goed op de rug tijdens het fietsen"
TheNorthFace Laptoprugzak Connector - zwart,Ik vind het een prettige tas. Mijn laptop kan in het achterste vakje en daarnaast kan ik spullen in verschillende vakjes kwijt.
TheNorthFace Laptoprugzak Connector - zwart,"Ik zag deze tas toen er een flitsdeal was en heb deze toen gekocht want mijn oude tas zijn ritsen waren aan het kapot gaan.Deze tas is perfect voor school. Je kan er eventueel boeken in kwijt maar je moet natuurlijk niet je hele arsenaal aan boeken erin kwijt willen maar 4 boeken van redelijke dikte passen er wel in Zelf gebruik ik deze vooral om mijn laptop in te doen en mijn notitieblok dus alles past er makkelijk in, dat is dus wel het mooie aan deze tas. het laptop vak is mooi groot, mijn vorige tas was een ""laptop"" tas maar mijn 15.5"" laptop paste er met veel moeite in, hier glijd hij er zo in en zit hij er goed in :)Ook voelt de tas kwalitatief goed, geen goedkope alibaba kwaliteit in ieder geval.tweede vak is ook goed voor meenemen van je lunch of zoiets als een nintendo switch (in een travel case)"
TheNorthFace Laptoprugzak Connector - zwart,Het is een heel ruime rugzak en hij is heel comfortabel
TheNorthFace Laptoprugzak Connector - zwart,Compacte en comfortable rugzak
TheNorthFace Laptoprugzak Connector - zwart,"Alleen maar positief: goede kwaliteit, handig in gebruik en voldoet aan verwachting."
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,"Geschreven bij TheNorthFace Laptoprugzak Groundwork - grijs
Geweldige rugtas. TNF is een goed merk maar heb de tas nu een week in gebruik en ik ben onwijs blij met me aankoop. De rugtas heeft openingen 1 groten waar je laptop in zou kunnen of tablet, En het voorvak waar ze verschillende vakjes hebben gemaakt voor opbergen van je spullen. maar hij is verrassen groot en hij zit goed ik gebruik hem dagelijks voor me werk waar ik verschillende dingen in me tas heb maar altijd probeer licht te houden, maar ik kan naast mijn spullen nog steeds een volle winkel tas met boodschappen kwijt in ergste geval moed ik me trui vooraan achter het elastiek plaatsen. De arm banden zitten goed en zijn heel luchtig ofz, vind alleen persoonlijk weinig nut aan de borst bevestiging. of ik doe het niet goed of geen idee maar ik vind makkelijker dragen zonder die vast. maar top tas 9/10!"
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,"Fijne rugzak. Veel opbergruimte en handige vakjes. Ook voor het oog een mooie rugzak. Draagt comfortabel. In tegenstelling tot de omschrijving kan de rugzak niet rechtop staan, dat is jammer en soms wat onhandig."
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,"Stevig materiaal, waterafstotend, handige indeling, aparte vakjes voor bv een mobiele telefoon, vak voor15,4 inch laptop"
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,Super snelle levering dankzij Select nog dezelfde dag binnen. Top product voor mooie prijs!
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,"Goede kwaliteit, handig in gebruik, voldoet aan verwachting, ik ben enthousiast!"
TheNorthFace Rugtas / Rugzak / Laptoptas / Schooltas - Groundwork - 15 inch - 29 Liter - Zwart,"Geschreven bij TheNorthFace Laptoprugzak Groundwork - grijs
Mooie,stevige rugzak. Geschikt voor schoolboeken en laptop."
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,"Prima rugzak! Zit comfortabel, het is ruim en er zijn verschillende compartimenten wat heel handig is. En wat de prijs betreft is deze rugzak zeer goedkoop voor wat het waard is. Zeker een aanrader."
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,"Fijne school/werk rugzak.Ideaal met verschillende vakken voor o.a. laptop of tablet maar ook mappen, schriften en boeken.Voor mij genoeg ruimte om alles goed en apart op te bergen en mee te nemen.Een goede stevige rugzak die fijn draagt."
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,"Ik had de rugzak pas gisteravond gekregen. Kon vandaag voor het eerst gebruiken. Het was zo fijne rugzak en die rugzak had veel ruimte voor mijn schoolspullen, laptop en opladers. De rugzak had ook veel vakken en aparte vak voor laptop"
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,Sterke rugzak met veel vakken. Voelt goed aan.
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,goed
Navy Madden Rugzak met USB poort 28L - Zwart - Luxe Laptop Rugtas 15.6 inch met Laptopvak - Heren - Dames - Jongens - Meisje - Waterafstotend - Rugzakken,"Mooie, ruime en stevige rugzak."
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjallraven Rugzak - UnisexKinderen en volwassenen - rood
Het is echt zo'n fijne tas!! Echt een aanrader!! Ik wou hem eerst als dagrugzakje gebruiken maar de 16l is groot genoeg voor een boekentas! Er kunnen zeker 4 mappen in en lunch, nog veel meer!!! 'MUST HAVE'❤"
